packet_rank,readiness_rank,bill_id,public_law_number,policy_area,sponsor_districts,target_issue_construct,primary_survey_source_family,current_proxy_source_family,current_proxy_dataset_doi,current_proxy_dataset_version,current_proxy_distribution_date,current_proxy_survey_year,current_proxy_variable_ids,current_proxy_signal_names,current_proxy_review_status,bill_topic_candidate_constructs,acquired_bill_topic_item_ids,acquired_bill_topic_item_years,bill_topic_item_review_status,district_estimation_status,affected_group_item_status,required_next_action,evidence_layers,missing_links,source_urls,claim_boundary
11,11,117-hr-1652,117-27,Crime and Law Enforcement,NY-10,"crime, policing, sentencing, or law-enforcement bill support",CES/CCES,Cumulative CES Common Content,10.7910/DVN/II2DB6,11.0,2025-10-08,2024,approval_rep; intent_pres_party; intent_rep_party; voted_turnout_self; intent_turnout_self; no_healthins; cd; weight; year,house_representative_approval; presidential_democratic_preference; house_democratic_preference; turnout; uninsured_share_vulnerability_proxy,exact_current_ces_proxy_variables_reviewed_no_bill_topic_item,policing; sentencing; public safety; victimization; justice-system confidence,,,no_bill_topic_survey_item_acquired,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review official source questionnaires/codebooks for the candidate constructs, record exact bill-topic survey item IDs and years, then build or import district-level estimates before using any row as bill-topic support evidence.",public_opinion_survey_source_crosswalk; cumulative_ces_source_variable_review; cumulative_ces_district_aggregate; sponsor_district_bill_policy_area_context,bill_topic_public_opinion; acquired_bill_topic_survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/II2DB6; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,"Rows record exact current CES proxy variables and attach them to queued bill-topic source packets. They are not acquired bill-topic survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
12,12,117-hr-3113,117-114,Public Lands and Natural Resources,UT-01,"public-lands, conservation, resource, or environmental-management bill support",CES/CCES,Cumulative CES Common Content,10.7910/DVN/II2DB6,11.0,2025-10-08,2024,approval_rep; intent_pres_party; intent_rep_party; voted_turnout_self; intent_turnout_self; no_healthins; cd; weight; year,house_representative_approval; presidential_democratic_preference; house_democratic_preference; turnout; uninsured_share_vulnerability_proxy,exact_current_ces_proxy_variables_reviewed_no_bill_topic_item,public lands; conservation; environmental regulation; resource extraction; land-user interests,,,no_bill_topic_survey_item_acquired,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review official source questionnaires/codebooks for the candidate constructs, record exact bill-topic survey item IDs and years, then build or import district-level estimates before using any row as bill-topic support evidence.",public_opinion_survey_source_crosswalk; cumulative_ces_source_variable_review; cumulative_ces_district_aggregate; sponsor_district_bill_policy_area_context,bill_topic_public_opinion; acquired_bill_topic_survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/II2DB6; https://cces.gov.harvard.edu/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx; https://gssdataexplorer.norc.org/,"Rows record exact current CES proxy variables and attach them to queued bill-topic source packets. They are not acquired bill-topic survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
13,13,117-hr-6943,117-172,Crime and Law Enforcement,MD-06,"crime, policing, sentencing, or law-enforcement bill support",CES/CCES,Cumulative CES Common Content,10.7910/DVN/II2DB6,11.0,2025-10-08,2024,approval_rep; intent_pres_party; intent_rep_party; voted_turnout_self; intent_turnout_self; no_healthins; cd; weight; year,house_representative_approval; presidential_democratic_preference; house_democratic_preference; turnout; uninsured_share_vulnerability_proxy,exact_current_ces_proxy_variables_reviewed_no_bill_topic_item,policing; sentencing; public safety; victimization; justice-system confidence,,,no_bill_topic_survey_item_acquired,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review official source questionnaires/codebooks for the candidate constructs, record exact bill-topic survey item IDs and years, then build or import district-level estimates before using any row as bill-topic support evidence.",public_opinion_survey_source_crosswalk; cumulative_ces_source_variable_review; cumulative_ces_district_aggregate; sponsor_district_bill_policy_area_context,bill_topic_public_opinion; acquired_bill_topic_survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/II2DB6; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,"Rows record exact current CES proxy variables and attach them to queued bill-topic source packets. They are not acquired bill-topic survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
14,14,117-hr-8404,117-228,"Civil Rights and Liberties, Minority Issues",NY-10,civil-rights or minority-rights bill support,CES/CCES,Cumulative CES Common Content,10.7910/DVN/II2DB6,11.0,2025-10-08,2024,approval_rep; intent_pres_party; intent_rep_party; voted_turnout_self; intent_turnout_self; no_healthins; cd; weight; year,house_representative_approval; presidential_democratic_preference; house_democratic_preference; turnout; uninsured_share_vulnerability_proxy,exact_current_ces_proxy_variables_reviewed_no_bill_topic_item,civil-rights enforcement; marriage equality; minority-rights protections; discrimination remedies,,,no_bill_topic_survey_item_acquired,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review official source questionnaires/codebooks for the candidate constructs, record exact bill-topic survey item IDs and years, then build or import district-level estimates before using any row as bill-topic support evidence.",public_opinion_survey_source_crosswalk; cumulative_ces_source_variable_review; cumulative_ces_district_aggregate; sponsor_district_bill_policy_area_context,bill_topic_public_opinion; acquired_bill_topic_survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/II2DB6; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://prri.org/prri-research/data-vault/; https://www.pewresearch.org/datasets/,"Rows record exact current CES proxy variables and attach them to queued bill-topic source packets. They are not acquired bill-topic survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
15,15,117-hr-8454,117-215,Crime and Law Enforcement,OR-03,"crime, policing, sentencing, or law-enforcement bill support",CES/CCES,Cumulative CES Common Content,10.7910/DVN/II2DB6,11.0,2025-10-08,2024,approval_rep; intent_pres_party; intent_rep_party; voted_turnout_self; intent_turnout_self; no_healthins; cd; weight; year,house_representative_approval; presidential_democratic_preference; house_democratic_preference; turnout; uninsured_share_vulnerability_proxy,exact_current_ces_proxy_variables_reviewed_no_bill_topic_item,policing; sentencing; public safety; victimization; justice-system confidence,,,no_bill_topic_survey_item_acquired,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review official source questionnaires/codebooks for the candidate constructs, record exact bill-topic survey item IDs and years, then build or import district-level estimates before using any row as bill-topic support evidence.",public_opinion_survey_source_crosswalk; cumulative_ces_source_variable_review; cumulative_ces_district_aggregate; sponsor_district_bill_policy_area_context,bill_topic_public_opinion; acquired_bill_topic_survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/II2DB6; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,"Rows record exact current CES proxy variables and attach them to queued bill-topic source packets. They are not acquired bill-topic survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
16,16,117-hr-6386,117-295,Government Operations and Politics,IL-08,"government-operations, democracy, ethics, or institutional-reform bill support",CES/CCES,Cumulative CES Common Content,10.7910/DVN/II2DB6,11.0,2025-10-08,2024,approval_rep; intent_pres_party; intent_rep_party; voted_turnout_self; intent_turnout_self; no_healthins; cd; weight; year,house_representative_approval; presidential_democratic_preference; house_democratic_preference; turnout; uninsured_share_vulnerability_proxy,exact_current_ces_proxy_variables_reviewed_no_bill_topic_item,trust in government; election administration; democracy protection; ethics reform; civic access,,,no_bill_topic_survey_item_acquired,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review official source questionnaires/codebooks for the candidate constructs, record exact bill-topic survey item IDs and years, then build or import district-level estimates before using any row as bill-topic support evidence.",public_opinion_survey_source_crosswalk; cumulative_ces_source_variable_review; cumulative_ces_district_aggregate; sponsor_district_bill_policy_area_context,bill_topic_public_opinion; acquired_bill_topic_survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/II2DB6; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://gssdataexplorer.norc.org/; https://prri.org/prri-research/data-vault/,"Rows record exact current CES proxy variables and attach them to queued bill-topic source packets. They are not acquired bill-topic survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
17,17,117-hr-1842,117-163,Finance and Financial Sector,NY-05,"banking, credit, investor, or financial-regulation bill support",CES/CCES,Cumulative CES Common Content,10.7910/DVN/II2DB6,11.0,2025-10-08,2024,approval_rep; intent_pres_party; intent_rep_party; voted_turnout_self; intent_turnout_self; no_healthins; cd; weight; year,house_representative_approval; presidential_democratic_preference; house_democratic_preference; turnout; uninsured_share_vulnerability_proxy,exact_current_ces_proxy_variables_reviewed_no_bill_topic_item,bank regulation; credit access; borrower protection; investor protection; financial oversight,,,no_bill_topic_survey_item_acquired,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review official source questionnaires/codebooks for the candidate constructs, record exact bill-topic survey item IDs and years, then build or import district-level estimates before using any row as bill-topic support evidence.",public_opinion_survey_source_crosswalk; cumulative_ces_source_variable_review; cumulative_ces_district_aggregate; sponsor_district_bill_policy_area_context,bill_topic_public_opinion; acquired_bill_topic_survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/II2DB6; https://cces.gov.harvard.edu/; https://www.pewresearch.org/datasets/; https://gssdataexplorer.norc.org/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,"Rows record exact current CES proxy variables and attach them to queued bill-topic source packets. They are not acquired bill-topic survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
18,18,117-hr-3359,117-164,Crime and Law Enforcement,CA-15,"crime, policing, sentencing, or law-enforcement bill support",CES/CCES,Cumulative CES Common Content,10.7910/DVN/II2DB6,11.0,2025-10-08,2024,approval_rep; intent_pres_party; intent_rep_party; voted_turnout_self; intent_turnout_self; no_healthins; cd; weight; year,house_representative_approval; presidential_democratic_preference; house_democratic_preference; turnout; uninsured_share_vulnerability_proxy,exact_current_ces_proxy_variables_reviewed_no_bill_topic_item,policing; sentencing; public safety; victimization; justice-system confidence,,,no_bill_topic_survey_item_acquired,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review official source questionnaires/codebooks for the candidate constructs, record exact bill-topic survey item IDs and years, then build or import district-level estimates before using any row as bill-topic support evidence.",public_opinion_survey_source_crosswalk; cumulative_ces_source_variable_review; cumulative_ces_district_aggregate; sponsor_district_bill_policy_area_context,bill_topic_public_opinion; acquired_bill_topic_survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/II2DB6; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,"Rows record exact current CES proxy variables and attach them to queued bill-topic source packets. They are not acquired bill-topic survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
19,19,117-hr-4693,117-214,International Affairs,TX-10,"foreign-policy, trade, aid, sanctions, or international-affairs bill support",CES/CCES,Cumulative CES Common Content,10.7910/DVN/II2DB6,11.0,2025-10-08,2024,approval_rep; intent_pres_party; intent_rep_party; voted_turnout_self; intent_turnout_self; no_healthins; cd; weight; year,house_representative_approval; presidential_democratic_preference; house_democratic_preference; turnout; uninsured_share_vulnerability_proxy,exact_current_ces_proxy_variables_reviewed_no_bill_topic_item,foreign aid; sanctions; trade; military assistance; international engagement,,,no_bill_topic_survey_item_acquired,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review official source questionnaires/codebooks for the candidate constructs, record exact bill-topic survey item IDs and years, then build or import district-level estimates before using any row as bill-topic support evidence.",public_opinion_survey_source_crosswalk; cumulative_ces_source_variable_review; cumulative_ces_district_aggregate; sponsor_district_bill_policy_area_context,bill_topic_public_opinion; acquired_bill_topic_survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/II2DB6; https://cces.gov.harvard.edu/; https://globalaffairs.org/explore-research/lester-crown-center-us-foreign-policy/public-opinion-surveys/chicago-council; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/,"Rows record exact current CES proxy variables and attach them to queued bill-topic source packets. They are not acquired bill-topic survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
20,20,117-hr-6899,117-185,International Affairs,AR-02,"foreign-policy, trade, aid, sanctions, or international-affairs bill support",CES/CCES,Cumulative CES Common Content,10.7910/DVN/II2DB6,11.0,2025-10-08,2024,approval_rep; intent_pres_party; intent_rep_party; voted_turnout_self; intent_turnout_self; no_healthins; cd; weight; year,house_representative_approval; presidential_democratic_preference; house_democratic_preference; turnout; uninsured_share_vulnerability_proxy,exact_current_ces_proxy_variables_reviewed_no_bill_topic_item,foreign aid; sanctions; trade; military assistance; international engagement,,,no_bill_topic_survey_item_acquired,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review official source questionnaires/codebooks for the candidate constructs, record exact bill-topic survey item IDs and years, then build or import district-level estimates before using any row as bill-topic support evidence.",public_opinion_survey_source_crosswalk; cumulative_ces_source_variable_review; cumulative_ces_district_aggregate; sponsor_district_bill_policy_area_context,bill_topic_public_opinion; acquired_bill_topic_survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/II2DB6; https://cces.gov.harvard.edu/; https://globalaffairs.org/explore-research/lester-crown-center-us-foreign-policy/public-opinion-surveys/chicago-council; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/,"Rows record exact current CES proxy variables and attach them to queued bill-topic source packets. They are not acquired bill-topic survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
21,21,117-hr-7334,117-165,Commerce,MO-03,"commerce, consumer, or business-regulation bill support",CES/CCES,Cumulative CES Common Content,10.7910/DVN/II2DB6,11.0,2025-10-08,2024,approval_rep; intent_pres_party; intent_rep_party; voted_turnout_self; intent_turnout_self; no_healthins; cd; weight; year,house_representative_approval; presidential_democratic_preference; house_democratic_preference; turnout; uninsured_share_vulnerability_proxy,exact_current_ces_proxy_variables_reviewed_no_bill_topic_item,consumer protection; business regulation; supply-chain policy; competition or market oversight,,,no_bill_topic_survey_item_acquired,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review official source questionnaires/codebooks for the candidate constructs, record exact bill-topic survey item IDs and years, then build or import district-level estimates before using any row as bill-topic support evidence.",public_opinion_survey_source_crosswalk; cumulative_ces_source_variable_review; cumulative_ces_district_aggregate; sponsor_district_bill_policy_area_context,bill_topic_public_opinion; acquired_bill_topic_survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/II2DB6; https://cces.gov.harvard.edu/; https://www.pewresearch.org/datasets/; https://gssdataexplorer.norc.org/; https://www.gallup.com/analytics/213617/gallup-analytics.aspx,"Rows record exact current CES proxy variables and attach them to queued bill-topic source packets. They are not acquired bill-topic survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
22,22,117-hr-5681,117-113,Immigration,NY-24,"immigration, border, naturalization, or noncitizen-policy bill support",CES/CCES,Cumulative CES Common Content,10.7910/DVN/II2DB6,11.0,2025-10-08,2024,approval_rep; intent_pres_party; intent_rep_party; voted_turnout_self; intent_turnout_self; no_healthins; cd; weight; year,house_representative_approval; presidential_democratic_preference; house_democratic_preference; turnout; uninsured_share_vulnerability_proxy,exact_current_ces_proxy_variables_reviewed_no_bill_topic_item,border enforcement; legalization; naturalization; refugee policy; noncitizen access,,,no_bill_topic_survey_item_acquired,no_mrp_or_small_area_estimate,no_bill_text_specific_affected_group_item_acquired,"Review official source questionnaires/codebooks for the candidate constructs, record exact bill-topic survey item IDs and years, then build or import district-level estimates before using any row as bill-topic support evidence.",public_opinion_survey_source_crosswalk; cumulative_ces_source_variable_review; cumulative_ces_district_aggregate; sponsor_district_bill_policy_area_context,bill_topic_public_opinion; acquired_bill_topic_survey_item_id; survey_item_crosswalk; MRP_or_small_area_estimate; bill_text_specific_affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; public_benefit; causal_representation; model_validation,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/II2DB6; https://cces.gov.harvard.edu/; https://electionstudies.org/data-center/; https://www.pewresearch.org/datasets/; https://prri.org/prri-research/data-vault/,"Rows record exact current CES proxy variables and attach them to queued bill-topic source packets. They are not acquired bill-topic survey item IDs, not bill-topic public support, not MRP or small-area estimates, not bill-text-specific affected-population definitions, not affected-group support or harm, not public-benefit evidence, and not model validation."
