action_rank,base_review_priority_rank,bill_id,public_law_number,policy_area,lifecycle_readiness_tier,review_score,high_priority_gaps,closed_review_gates,closed_review_gate_count,actionable_high_priority_gaps,actionable_gap_count,court_direct_review_status,court_direct_review_rows,court_direct_review_direct_rows,court_direct_review_not_direct_rows,court_direct_review_temporal_exclusions,next_actionable_upgrade_gate,next_actionable_upgrade_reason,next_source_family,next_source_command,action_packet,claim_boundary
11,11,117-s-516,117-203,Transportation and Public Works,tier_1_rich_lifecycle_review_candidate,36,bill_topic_public_opinion; codified_usc_lineage; direct_case_to_public_law_identifier; reviewed_case_disposition_to_public_law; complete_regulations_comments; unified_agenda_stage; implementation_outcomes_or_enforcement; full_bill_progression_census_overlap,direct_case_to_public_law_identifier; reviewed_case_disposition_to_public_law,2,bill_topic_public_opinion; codified_usc_lineage; complete_regulations_comments; full_bill_progression_census_overlap; implementation_outcomes_or_enforcement; unified_agenda_stage,6,all_queued_court_overlaps_closed_without_direct_public_law_review,2,0,0,2,codified_usc_lineage,court direct-review tasks are closed or lower priority; authority text makes codified statutory lineage the next actionable gate,Statutory revision and law lineage,make build-law-revision-bill-linkage-raw,bill_id=117-s-516 | public_law=117-203 | base_rank=11 | closed_review_gates=direct_case_to_public_law_identifier; reviewed_case_disposition_to_public_law | next_actionable_gate=codified_usc_lineage,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
12,12,117-s-4458,117-174,Armed Forces and National Security,tier_2_implementation_chain_candidate,35,bill_topic_public_opinion; codified_usc_lineage; complete_regulations_comments; unified_agenda_stage; implementation_outcomes_or_enforcement; full_bill_progression_census_overlap,,0,bill_topic_public_opinion; codified_usc_lineage; complete_regulations_comments; full_bill_progression_census_overlap; implementation_outcomes_or_enforcement; unified_agenda_stage,6,no_queued_court_public_law_overlap,0,0,0,0,codified_usc_lineage,court direct-review tasks are closed or lower priority; authority text makes codified statutory lineage the next actionable gate,Statutory revision and law lineage,make build-law-revision-bill-linkage-raw,bill_id=117-s-4458 | public_law=117-174 | base_rank=12 | closed_review_gates=none | next_actionable_gate=codified_usc_lineage,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
13,13,117-s-3580,117-146,Transportation and Public Works,tier_2_implementation_chain_candidate,32,bill_topic_public_opinion; codified_usc_lineage; complete_regulations_comments; unified_agenda_stage; implementation_outcomes_or_enforcement; full_bill_progression_census_overlap,,0,bill_topic_public_opinion; codified_usc_lineage; complete_regulations_comments; full_bill_progression_census_overlap; implementation_outcomes_or_enforcement; unified_agenda_stage,6,no_queued_court_public_law_overlap,0,0,0,0,codified_usc_lineage,court direct-review tasks are closed or lower priority; authority text makes codified statutory lineage the next actionable gate,Statutory revision and law lineage,make build-law-revision-bill-linkage-raw,bill_id=117-s-3580 | public_law=117-146 | base_rank=13 | closed_review_gates=none | next_actionable_gate=codified_usc_lineage,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
14,14,117-s-1941,117-219,Government Operations and Politics,tier_2_implementation_chain_candidate,31,bill_topic_public_opinion; bill_specific_campaign_finance_or_lobbying_to_bill; codified_usc_lineage; complete_regulations_comments; unified_agenda_stage; implementation_outcomes_or_enforcement; full_bill_progression_census_overlap,,0,bill_specific_campaign_finance_or_lobbying_to_bill; bill_topic_public_opinion; codified_usc_lineage; complete_regulations_comments; full_bill_progression_census_overlap; implementation_outcomes_or_enforcement; unified_agenda_stage,7,no_queued_court_public_law_overlap,0,0,0,0,codified_usc_lineage,court direct-review tasks are closed or lower priority; authority text makes codified statutory lineage the next actionable gate,Statutory revision and law lineage,make build-law-revision-bill-linkage-raw,bill_id=117-s-1941 | public_law=117-219 | base_rank=14 | closed_review_gates=none | next_actionable_gate=codified_usc_lineage,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
15,15,117-hr-7352,117-166,Commerce,tier_2_implementation_chain_candidate,21,bill_topic_public_opinion; bill_specific_campaign_finance_or_lobbying_to_bill; codified_usc_lineage; complete_regulations_comments; unified_agenda_stage; implementation_outcomes_or_enforcement; full_bill_progression_census_overlap,,0,bill_specific_campaign_finance_or_lobbying_to_bill; bill_topic_public_opinion; codified_usc_lineage; complete_regulations_comments; full_bill_progression_census_overlap; implementation_outcomes_or_enforcement; unified_agenda_stage,7,no_queued_court_public_law_overlap,0,0,0,0,codified_usc_lineage,court direct-review tasks are closed or lower priority; authority text makes codified statutory lineage the next actionable gate,Statutory revision and law lineage,make build-law-revision-bill-linkage-raw,bill_id=117-hr-7352 | public_law=117-166 | base_rank=15 | closed_review_gates=none | next_actionable_gate=codified_usc_lineage,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
16,16,117-hr-1652,117-27,Crime and Law Enforcement,tier_3_representation_influence_context_candidate,16,bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,,0,bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,3,no_queued_court_public_law_overlap,0,0,0,0,bill_topic_public_opinion,"sponsor-district context exists, so the next gate is bill-topic support or affected-group evidence",District public opinion and affected groups,make build-district-public-opinion-policy-context-raw,bill_id=117-hr-1652 | public_law=117-27 | base_rank=16 | closed_review_gates=none | next_actionable_gate=bill_topic_public_opinion,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
17,17,117-hr-3113,117-114,Public Lands and Natural Resources,tier_3_representation_influence_context_candidate,16,bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,,0,bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,3,no_queued_court_public_law_overlap,0,0,0,0,bill_topic_public_opinion,"sponsor-district context exists, so the next gate is bill-topic support or affected-group evidence",District public opinion and affected groups,make build-district-public-opinion-policy-context-raw,bill_id=117-hr-3113 | public_law=117-114 | base_rank=17 | closed_review_gates=none | next_actionable_gate=bill_topic_public_opinion,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
18,18,117-hr-6943,117-172,Crime and Law Enforcement,tier_3_representation_influence_context_candidate,16,bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,,0,bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,3,no_queued_court_public_law_overlap,0,0,0,0,bill_topic_public_opinion,"sponsor-district context exists, so the next gate is bill-topic support or affected-group evidence",District public opinion and affected groups,make build-district-public-opinion-policy-context-raw,bill_id=117-hr-6943 | public_law=117-172 | base_rank=18 | closed_review_gates=none | next_actionable_gate=bill_topic_public_opinion,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
19,19,117-hr-8404,117-228,"Civil Rights and Liberties, Minority Issues",tier_3_representation_influence_context_candidate,16,bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,,0,bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,3,no_queued_court_public_law_overlap,0,0,0,0,bill_topic_public_opinion,"sponsor-district context exists, so the next gate is bill-topic support or affected-group evidence",District public opinion and affected groups,make build-district-public-opinion-policy-context-raw,bill_id=117-hr-8404 | public_law=117-228 | base_rank=19 | closed_review_gates=none | next_actionable_gate=bill_topic_public_opinion,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
20,20,117-hr-8454,117-215,Crime and Law Enforcement,tier_3_representation_influence_context_candidate,16,bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,,0,bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,3,no_queued_court_public_law_overlap,0,0,0,0,bill_topic_public_opinion,"sponsor-district context exists, so the next gate is bill-topic support or affected-group evidence",District public opinion and affected groups,make build-district-public-opinion-policy-context-raw,bill_id=117-hr-8454 | public_law=117-215 | base_rank=20 | closed_review_gates=none | next_actionable_gate=bill_topic_public_opinion,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
21,21,117-hr-6386,117-295,Government Operations and Politics,tier_3_representation_influence_context_candidate,15,bill_topic_public_opinion; bill_specific_campaign_finance_or_lobbying_to_bill; codified_usc_lineage; full_bill_progression_census_overlap,,0,bill_specific_campaign_finance_or_lobbying_to_bill; bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,4,no_queued_court_public_law_overlap,0,0,0,0,bill_specific_campaign_finance_or_lobbying_to_bill,"same-policy finance or lobbying context exists, so the next gate is a bill-specific link",OpenFEC campaign finance; Senate LDA lobbying disclosures,make build-lobbying-bill-mentions-raw && make lobbying-bill-mention-review,bill_id=117-hr-6386 | public_law=117-295 | base_rank=21 | closed_review_gates=none | next_actionable_gate=bill_specific_campaign_finance_or_lobbying_to_bill,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
22,22,117-s-233,117-115,Government Operations and Politics,tier_5_bill_action_context_only,12,bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,,0,bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,3,no_queued_court_public_law_overlap,0,0,0,0,full_bill_progression_census_overlap,fuller bill/action coverage is required before stronger bill-flow claims,Congress.gov bill histories; govinfo bill and action records,make build-govinfo-billstatus-linkage-raw,bill_id=117-s-233 | public_law=117-115 | base_rank=22 | closed_review_gates=none | next_actionable_gate=full_bill_progression_census_overlap,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
23,23,117-s-2687,117-136,Armed Forces and National Security,tier_5_bill_action_context_only,12,bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,,0,bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,3,no_queued_court_public_law_overlap,0,0,0,0,full_bill_progression_census_overlap,fuller bill/action coverage is required before stronger bill-flow claims,Congress.gov bill histories; govinfo bill and action records,make build-govinfo-billstatus-linkage-raw,bill_id=117-s-2687 | public_law=117-136 | base_rank=23 | closed_review_gates=none | next_actionable_gate=full_bill_progression_census_overlap,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
24,24,117-hr-1842,117-163,Finance and Financial Sector,tier_3_representation_influence_context_candidate,12,bill_topic_public_opinion; bill_specific_campaign_finance_or_lobbying_to_bill; codified_usc_lineage; full_bill_progression_census_overlap,,0,bill_specific_campaign_finance_or_lobbying_to_bill; bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,4,no_queued_court_public_law_overlap,0,0,0,0,bill_specific_campaign_finance_or_lobbying_to_bill,"same-policy finance or lobbying context exists, so the next gate is a bill-specific link",OpenFEC campaign finance; Senate LDA lobbying disclosures,make build-lobbying-bill-mentions-raw && make lobbying-bill-mention-review,bill_id=117-hr-1842 | public_law=117-163 | base_rank=24 | closed_review_gates=none | next_actionable_gate=bill_specific_campaign_finance_or_lobbying_to_bill,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
25,25,117-hr-3359,117-164,Crime and Law Enforcement,tier_3_representation_influence_context_candidate,12,bill_topic_public_opinion; bill_specific_campaign_finance_or_lobbying_to_bill; codified_usc_lineage; full_bill_progression_census_overlap,,0,bill_specific_campaign_finance_or_lobbying_to_bill; bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,4,no_queued_court_public_law_overlap,0,0,0,0,bill_specific_campaign_finance_or_lobbying_to_bill,"same-policy finance or lobbying context exists, so the next gate is a bill-specific link",OpenFEC campaign finance; Senate LDA lobbying disclosures,make build-lobbying-bill-mentions-raw && make lobbying-bill-mention-review,bill_id=117-hr-3359 | public_law=117-164 | base_rank=25 | closed_review_gates=none | next_actionable_gate=bill_specific_campaign_finance_or_lobbying_to_bill,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
26,26,117-hr-4693,117-214,International Affairs,tier_3_representation_influence_context_candidate,12,bill_topic_public_opinion; bill_specific_campaign_finance_or_lobbying_to_bill; codified_usc_lineage; full_bill_progression_census_overlap,,0,bill_specific_campaign_finance_or_lobbying_to_bill; bill_topic_public_opinion; codified_usc_lineage; full_bill_progression_census_overlap,4,no_queued_court_public_law_overlap,0,0,0,0,bill_specific_campaign_finance_or_lobbying_to_bill,"same-policy finance or lobbying context exists, so the next gate is a bill-specific link",OpenFEC campaign finance; Senate LDA lobbying disclosures,make build-lobbying-bill-mentions-raw && make lobbying-bill-mention-review,bill_id=117-hr-4693 | public_law=117-214 | base_rank=26 | closed_review_gates=none | next_actionable_gate=bill_specific_campaign_finance_or_lobbying_to_bill,"Post-direct-review lifecycle action queue only; closed gates reflect temporal exclusions or source-reviewed not-direct dispositions for queued court/public-law overlaps. This report does not create bill-topic public support, bill-specific finance/lobbying influence, direct court-review evidence beyond the reviewed disposition, implementation outcomes, codified statutory lineage, causal effects, welfare, or model validation."
