caseKey,caseName,caseDescription,scenarioKey,scenario,totalBills,potentialBillsPerRun,enactedBills,enactedPerRun,floorPerRun,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,challengeRate,lowSupport,popularFail,policyShift,proposerGain,lobbyCapture,publicAlignment,antiLobbyingSuccess,privateGainRatio,lobbySpendPerBill,defensiveLobbyingShare,captureReturnOnSpend,publicPreferenceDistortion,amendmentRate,amendmentMovement,minorityHarm,concentratedHarmPassage,compensationRate,legitimacy,activeLawWelfare,reversalRate,statusQuoVolatility,lowSupportActiveLawShare,selectedAlternativeMedianDistance,proposerAgendaAdvantage,alternativeDiversity,statusQuoWinRate,publicBenefitPerLobbyDollar,directLobbySpendShare,agendaLobbySpendShare,informationLobbySpendShare,publicCampaignSpendShare,litigationThreatSpendShare,citizenReviewRate,citizenCertificationRate,citizenLegitimacy,attentionSpendPerBill,objectionWindowRate,repealWindowReversalRate,vetoes,overriddenVetoes
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-anti-capture-bundle,Default pass + anti-capture bundle,9000,60.000,6909,46.060,57.773,0.768,0.963,0.536,0.517,0.412,0.114,0.232,0.037,0.000,0.000,0.451,0.032,0.602,0.652,0.177,0.813,0.963,0.437,0.000,0.000,0.000,0.187,0.000,0.000,0.150,0.599,0.000,0.413,0.000,0.000,0.602,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-informed-guarded,Default pass + informed guarded committee,9000,60.000,1968,13.120,13.207,0.219,0.220,0.587,0.658,0.128,0.248,0.781,0.540,0.240,0.000,0.195,0.533,0.070,0.242,0.205,0.864,0.618,0.368,0.000,0.000,0.000,0.136,0.000,0.000,0.080,0.092,0.000,0.559,0.000,0.000,0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-challenge,Default pass + challenge vouchers,9000,60.000,5251,35.007,60.000,0.583,1.000,0.528,0.522,0.308,0.137,0.417,0.000,0.000,0.500,0.376,0.247,0.372,0.519,0.245,0.815,0.856,0.552,0.000,0.000,0.000,0.185,0.000,0.000,0.153,0.490,0.000,0.417,0.000,0.000,0.372,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-cross-bloc,Default pass + cross-bloc cosponsors,9000,60.000,2280,15.200,15.267,0.253,0.254,0.581,0.680,0.147,0.260,0.747,0.746,0.000,0.000,0.210,0.477,0.081,0.245,0.166,0.824,0.845,0.274,0.000,0.000,0.000,0.176,0.000,0.000,0.070,0.071,0.000,0.565,0.000,0.000,0.081,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-adaptive-track,Default pass + adaptive tracks,9000,60.000,4007,26.713,56.107,0.445,0.935,0.562,0.603,0.250,0.175,0.555,0.065,0.000,0.000,0.251,0.189,0.224,0.401,0.197,0.813,0.911,0.369,0.000,0.000,0.000,0.187,0.000,0.000,0.101,0.257,0.000,0.520,0.000,0.000,0.224,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-sunset-trial,Default pass + sunset trial,9000,60.000,4348,28.987,60.000,0.483,1.000,0.554,0.614,0.268,0.155,0.517,0.000,0.000,0.000,0.363,0.095,0.280,0.469,0.176,0.824,0.982,0.300,0.000,0.000,0.000,0.176,0.000,0.000,0.096,0.280,0.000,0.527,0.000,0.000,0.280,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,default-pass-earned-credits,Default pass + earned proposal credits,9000,60.000,6607,44.047,51.573,0.734,0.860,0.533,0.505,0.392,0.111,0.266,0.140,0.000,0.000,0.449,0.122,0.569,0.643,0.247,0.806,0.887,0.548,0.000,0.000,0.000,0.194,0.000,0.000,0.158,0.645,0.000,0.406,0.000,0.000,0.569,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,bicameral-majority,Bicameral simple majority,9000,60.000,1619,10.793,60.000,0.180,1.000,0.623,0.676,0.112,0.283,0.820,0.000,0.000,0.000,0.000,0.582,0.053,0.224,0.196,0.832,0.549,0.347,0.000,0.000,0.000,0.168,0.000,0.000,0.068,0.057,0.000,0.604,0.000,0.000,0.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
baseline,Baseline,Moderately polarized three-party legislature.,presidential-veto,Bicameral majority + presidential veto,9000,60.000,1008,6.720,60.000,0.112,1.000,0.634,0.692,0.071,0.305,0.888,0.000,0.000,0.000,0.000,0.726,0.031,0.212,0.201,0.824,0.348,0.357,0.000,0.000,0.000,0.176,0.000,0.000,0.060,0.036,0.000,0.625,0.000,0.000,0.031,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,535,2
low-polarization,Low Polarization,Legislators are less ideologically clustered.,simple-majority,Unicameral simple majority,9000,60.000,4676,31.173,60.000,0.520,1.000,0.636,0.654,0.330,0.283,0.480,0.000,0.000,0.000,0.000,0.167,0.162,0.217,0.218,0.854,0.915,0.393,0.000,0.000,0.000,0.146,0.000,0.000,0.077,0.289,0.000,0.576,0.000,0.000,0.162,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,simple-majority-mediation,Unicameral majority + mediation,9000,60.000,5209,34.727,60.000,0.579,1.000,0.629,0.638,0.364,0.267,0.421,0.000,0.000,0.000,0.000,0.133,0.182,0.241,0.227,0.852,0.909,0.422,0.000,0.000,0.000,0.148,0.693,0.087,0.077,0.679,0.088,0.560,0.000,0.000,0.182,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,supermajority-60,Unicameral 60 percent passage,9000,60.000,2643,17.620,60.000,0.294,1.000,0.683,0.704,0.200,0.356,0.706,0.000,0.000,0.000,0.000,0.407,0.068,0.156,0.210,0.852,0.619,0.361,0.000,0.000,0.000,0.148,0.000,0.000,0.058,0.143,0.000,0.648,0.000,0.000,0.068,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass,Default pass unless 2/3 block,9000,60.000,7623,50.820,60.000,0.847,1.000,0.577,0.581,0.489,0.201,0.153,0.000,0.000,0.000,0.315,0.026,0.395,0.331,0.238,0.839,0.996,0.472,0.000,0.000,0.000,0.161,0.000,0.000,0.115,0.665,0.000,0.474,0.000,0.000,0.395,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-mediation,Default pass + mediated amendments,9000,60.000,8402,56.013,60.000,0.934,1.000,0.570,0.563,0.532,0.201,0.066,0.000,0.000,0.000,0.323,0.007,0.368,0.316,0.244,0.838,0.997,0.507,0.000,0.000,0.000,0.162,0.712,0.090,0.106,0.967,0.088,0.462,0.000,0.000,0.368,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-harm-threshold,Default pass + harm-weighted threshold,9000,60.000,7347,48.980,60.000,0.816,1.000,0.580,0.584,0.473,0.206,0.184,0.000,0.000,0.000,0.309,0.048,0.369,0.321,0.233,0.841,0.994,0.455,0.000,0.000,0.000,0.159,0.000,0.000,0.105,0.333,0.000,0.481,0.000,0.000,0.369,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-compensation,Default pass + compensation amendments,9000,60.000,7632,50.880,60.000,0.848,1.000,0.577,0.577,0.489,0.201,0.152,0.000,0.000,0.000,0.316,0.026,0.395,0.330,0.239,0.839,0.994,0.483,0.000,0.000,0.000,0.161,0.000,0.000,0.096,0.875,0.081,0.482,0.000,0.000,0.395,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-affected-consent,Default pass + affected-group consent,9000,60.000,7366,49.107,56.807,0.818,0.947,0.581,0.584,0.475,0.205,0.182,0.053,0.000,0.000,0.306,0.028,0.374,0.324,0.232,0.840,0.993,0.454,0.000,0.000,0.000,0.160,0.000,0.000,0.094,0.938,0.088,0.491,0.000,0.000,0.374,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-budgeted-lobbying,Default pass + budgeted lobbying,9000,60.000,7640,50.933,60.000,0.849,1.000,0.575,0.580,0.488,0.200,0.151,0.000,0.000,0.000,0.318,0.027,0.394,0.330,0.241,0.839,0.997,0.477,0.106,0.632,1.934,0.161,0.000,0.000,0.115,0.674,0.000,0.472,0.000,0.000,0.394,0.000,0.000,0.000,0.000,0.000,4.652,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-budgeted-lobbying-mediation,Default pass + budgeted lobbying + mediation,9000,60.000,8408,56.053,60.000,0.934,1.000,0.568,0.563,0.531,0.200,0.066,0.000,0.000,0.000,0.325,0.010,0.369,0.317,0.246,0.838,0.997,0.510,0.106,0.632,2.172,0.162,0.715,0.090,0.106,0.976,0.087,0.460,0.000,0.000,0.369,0.000,0.000,0.000,0.000,0.000,4.965,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-anti-capture-bundle,Default pass + anti-capture bundle,9000,60.000,6993,46.620,58.673,0.777,0.978,0.588,0.598,0.457,0.210,0.223,0.022,0.000,0.000,0.303,0.039,0.353,0.321,0.163,0.856,0.979,0.371,0.000,0.000,0.000,0.144,0.000,0.000,0.104,0.528,0.000,0.491,0.000,0.000,0.353,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-informed-guarded,Default pass + informed guarded committee,9000,60.000,3963,26.420,26.527,0.440,0.442,0.629,0.669,0.277,0.284,0.560,0.339,0.219,0.000,0.102,0.258,0.132,0.204,0.216,0.884,0.786,0.374,0.000,0.000,0.000,0.116,0.000,0.000,0.074,0.239,0.000,0.575,0.000,0.000,0.132,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-challenge,Default pass + challenge vouchers,9000,60.000,5949,39.660,60.000,0.661,1.000,0.597,0.610,0.395,0.240,0.339,0.000,0.000,0.499,0.176,0.120,0.250,0.265,0.227,0.847,0.950,0.439,0.000,0.000,0.000,0.153,0.000,0.000,0.099,0.463,0.000,0.514,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-cross-bloc,Default pass + cross-bloc cosponsors,9000,60.000,5473,36.487,37.020,0.608,0.617,0.606,0.641,0.369,0.264,0.392,0.383,0.000,0.000,0.187,0.144,0.188,0.211,0.203,0.852,0.986,0.348,0.000,0.000,0.000,0.148,0.000,0.000,0.084,0.306,0.000,0.537,0.000,0.000,0.188,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-adaptive-track,Default pass + adaptive tracks,9000,60.000,5693,37.953,58.420,0.633,0.974,0.613,0.634,0.388,0.245,0.367,0.026,0.000,0.000,0.139,0.075,0.231,0.256,0.210,0.849,0.971,0.375,0.000,0.000,0.000,0.151,0.000,0.000,0.085,0.368,0.000,0.549,0.000,0.000,0.231,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-sunset-trial,Default pass + sunset trial,9000,60.000,5613,37.420,60.000,0.624,1.000,0.605,0.646,0.377,0.233,0.376,0.000,0.000,0.000,0.223,0.064,0.245,0.272,0.179,0.855,0.987,0.292,0.000,0.000,0.000,0.145,0.000,0.000,0.081,0.360,0.000,0.553,0.000,0.000,0.245,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,default-pass-earned-credits,Default pass + earned proposal credits,9000,60.000,6946,46.307,54.307,0.772,0.905,0.580,0.587,0.447,0.206,0.228,0.095,0.000,0.000,0.304,0.088,0.349,0.319,0.232,0.841,0.915,0.450,0.000,0.000,0.000,0.159,0.000,0.000,0.111,0.585,0.000,0.482,0.000,0.000,0.349,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,bicameral-majority,Bicameral simple majority,9000,60.000,3733,24.887,60.000,0.415,1.000,0.654,0.672,0.271,0.309,0.585,0.000,0.000,0.000,0.000,0.265,0.116,0.195,0.216,0.853,0.790,0.383,0.000,0.000,0.000,0.147,0.000,0.000,0.069,0.219,0.000,0.604,0.000,0.000,0.116,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
low-polarization,Low Polarization,Legislators are less ideologically clustered.,presidential-veto,Bicameral majority + presidential veto,9000,60.000,2604,17.360,60.000,0.289,1.000,0.670,0.692,0.194,0.335,0.711,0.000,0.000,0.000,0.000,0.448,0.074,0.177,0.217,0.853,0.557,0.379,0.000,0.000,0.000,0.147,0.000,0.000,0.062,0.143,0.000,0.632,0.000,0.000,0.074,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1069,14
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,simple-majority,Unicameral simple majority,9000,60.000,1554,10.360,60.000,0.173,1.000,0.580,0.644,0.100,0.227,0.827,0.000,0.000,0.000,0.000,0.580,0.066,0.302,0.205,0.805,0.557,0.390,0.000,0.000,0.000,0.195,0.000,0.000,0.086,0.071,0.000,0.561,0.000,0.000,0.066,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,simple-majority-mediation,Unicameral majority + mediation,9000,60.000,2085,13.900,60.000,0.232,1.000,0.569,0.600,0.132,0.196,0.768,0.000,0.000,0.000,0.000,0.542,0.108,0.411,0.234,0.813,0.583,0.487,0.000,0.000,0.000,0.187,0.858,0.190,0.092,0.304,0.174,0.529,0.000,0.000,0.108,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,supermajority-60,Unicameral 60 percent passage,9000,60.000,373,2.487,60.000,0.041,1.000,0.649,0.738,0.027,0.362,0.959,0.000,0.000,0.000,0.000,0.868,0.007,0.121,0.212,0.798,0.138,0.360,0.000,0.000,0.000,0.202,0.000,0.000,0.044,0.009,0.000,0.677,0.000,0.000,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass,Default pass unless 2/3 block,9000,60.000,7531,50.207,60.000,0.837,1.000,0.521,0.461,0.436,0.081,0.163,0.000,0.000,0.000,0.482,0.022,0.773,0.807,0.265,0.788,0.991,0.647,0.000,0.000,0.000,0.212,0.000,0.000,0.188,0.784,0.000,0.365,0.000,0.000,0.773,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-mediation,Default pass + mediated amendments,9000,60.000,7905,52.700,60.000,0.878,1.000,0.501,0.463,0.440,0.115,0.122,0.000,0.000,0.000,0.512,0.018,0.552,0.591,0.267,0.805,0.993,0.672,0.000,0.000,0.000,0.195,0.860,0.195,0.143,0.950,0.173,0.385,0.000,0.000,0.552,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-harm-threshold,Default pass + harm-weighted threshold,9000,60.000,6752,45.013,60.000,0.750,1.000,0.522,0.474,0.392,0.087,0.250,0.000,0.000,0.000,0.476,0.094,0.670,0.778,0.250,0.790,0.997,0.588,0.000,0.000,0.000,0.210,0.000,0.000,0.159,0.261,0.000,0.382,0.000,0.000,0.670,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-compensation,Default pass + compensation amendments,9000,60.000,7593,50.620,60.000,0.844,1.000,0.520,0.453,0.438,0.080,0.156,0.000,0.000,0.000,0.484,0.023,0.777,0.805,0.266,0.788,0.997,0.675,0.000,0.000,0.000,0.212,0.000,0.000,0.134,0.935,0.164,0.387,0.000,0.000,0.777,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-affected-consent,Default pass + affected-group consent,9000,60.000,6718,44.787,52.907,0.746,0.882,0.523,0.477,0.390,0.087,0.254,0.118,0.000,0.000,0.468,0.027,0.669,0.784,0.248,0.794,0.997,0.581,0.000,0.000,0.000,0.206,0.000,0.000,0.134,0.945,0.173,0.405,0.000,0.000,0.669,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-budgeted-lobbying,Default pass + budgeted lobbying,9000,60.000,7569,50.460,60.000,0.841,1.000,0.519,0.461,0.437,0.080,0.159,0.000,0.000,0.000,0.487,0.023,0.777,0.807,0.267,0.790,0.994,0.651,0.096,0.643,2.344,0.210,0.000,0.000,0.188,0.786,0.000,0.363,0.000,0.000,0.777,0.000,0.000,0.000,0.000,0.000,4.046,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-budgeted-lobbying-mediation,Default pass + budgeted lobbying + mediation,9000,60.000,7936,52.907,60.000,0.882,1.000,0.499,0.462,0.440,0.113,0.118,0.000,0.000,0.000,0.519,0.021,0.553,0.589,0.270,0.806,0.991,0.679,0.096,0.643,2.482,0.194,0.862,0.195,0.143,0.977,0.173,0.383,0.000,0.000,0.553,0.000,0.000,0.000,0.000,0.000,4.251,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
high-polarization,High Polarization,Legislators are tightly clustered into ideological camps.,default-pass-anti-capture-bundle,Default pass + anti-capture bundle,9000,60.000,6757,45.047,57.033,0.751,0.951,0.522,0.482,0.392,0.084,0.249,0.049,0.000,0.000,0.485,0.033,0.694,0.808,0.183,0.796,0.948,0.468,0.000,0.000,0.000,0.204,0.000,0.000,0.173,0.607,0.000,0.380,0.000,0.000,0.694,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0
