lobbying_issue,topic,linkage_status,lobbying_rows,unique_clients,unique_filings,total_amount,topic_introduced,topic_floor_considered,topic_enacted,evidence_layers,missing_links,crosswalk_basis,source_url,claim_boundary
Economics/Economic Development,Economics and Public Finance,issue_topic_crosswalk,4,4,4,0.00,2,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Education,Education,issue_topic_crosswalk,4,4,4,0.00,11,1,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Energy/Nuclear,Energy,issue_topic_crosswalk,4,4,4,0.00,14,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Environment/Superfund,Environmental Protection,issue_topic_crosswalk,4,4,4,0.00,4,3,1,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Financial Institutions/Investments/Securities,Finance and Financial Sector,issue_topic_crosswalk,6,6,6,0.00,4,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
"Food Industry (safety, labeling, etc.)",Agriculture and Food,issue_topic_crosswalk,2,2,2,0.00,3,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Foreign Relations,International Affairs,issue_topic_crosswalk,1,1,1,0.00,7,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Fuel/Gas/Oil,Energy,issue_topic_crosswalk,1,1,1,0.00,14,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Government Issues,Government Operations and Politics,issue_topic_crosswalk,3,2,3,0.00,15,5,1,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Health Issues,Health,issue_topic_crosswalk,7,7,7,0.00,18,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Housing,Housing and Community Development,issue_topic_crosswalk,1,1,1,0.00,2,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Indian/Native American Affairs,Native Americans,issue_topic_crosswalk,1,1,1,0.00,3,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Insurance,Finance and Financial Sector,issue_topic_crosswalk,1,1,1,0.00,4,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Intelligence,Armed Forces and National Security,issue_topic_crosswalk,1,1,1,15000.00,9,1,1,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Law Enforcement/Crime/Criminal Justice,Crime and Law Enforcement,issue_topic_crosswalk,2,1,2,0.00,19,2,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Manufacturing,Commerce,issue_topic_crosswalk,5,4,5,0.00,5,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Marine/Maritime/Boating/Fisheries,Transportation and Public Works,issue_topic_crosswalk,1,1,1,0.00,1,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Media (information/publishing),"Science, Technology, Communications",issue_topic_crosswalk,2,2,2,0.00,4,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Medicare/Medicaid,Health,issue_topic_crosswalk,3,3,3,0.00,18,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Natural Resources,Public Lands and Natural Resources,issue_topic_crosswalk,4,4,4,0.00,3,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Pharmacy,Health,issue_topic_crosswalk,1,1,1,0.00,18,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Railroads,Transportation and Public Works,issue_topic_crosswalk,1,1,1,0.00,1,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Roads/Highway,Transportation and Public Works,issue_topic_crosswalk,2,2,2,0.00,1,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Science/Technology,"Science, Technology, Communications",issue_topic_crosswalk,6,6,6,0.00,4,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Small Business,Commerce,issue_topic_crosswalk,1,1,1,0.00,5,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Taxation/Internal Revenue Code,Taxation,issue_topic_crosswalk,9,9,9,0.00,17,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Telecommunications,"Science, Technology, Communications",issue_topic_crosswalk,3,3,3,30000.00,4,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Tobacco,Commerce,issue_topic_crosswalk,1,1,1,0.00,5,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Trade (domestic/foreign),Commerce,issue_topic_crosswalk,4,4,4,0.00,5,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Transportation,Transportation and Public Works,issue_topic_crosswalk,4,4,4,0.00,1,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Travel/Tourism,Commerce,issue_topic_crosswalk,1,1,1,0.00,5,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Uncoded,,unmatched_issue,2,2,2,0.00,,,,senate_lda_issue_label,topic_policy_area; bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,no policy-area assignment; leave unmatched rather than inferring from uncoded or ambiguous label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Utilities,Energy,issue_topic_crosswalk,1,1,1,0.00,14,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Veterans,Armed Forces and National Security,issue_topic_crosswalk,1,1,1,0.00,9,1,1,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
Welfare,Social Welfare,issue_topic_crosswalk,1,1,1,0.00,2,0,0,senate_lda_issue_label; congress_policy_area_topic,bill_id; sponsor_or_member_id; committee_of_jurisdiction; legislative_outcome; causal_capture_validation; model_validation,manual deterministic crosswalk from Senate LDA issue label to local Congress.gov policy-area topic label,https://lda.senate.gov/api/v1/filings/,"Bounded LDA issue-to-policy-area taxonomy bridge only; not bill-level lobbying influence, sponsor linkage, committee-of-jurisdiction evidence, causal capture validation, public benefit, welfare, or model validation."
