public_law_number,bill_id,congress,bill_type,bill_number,linkage_status,candidate_rule_count,matched_rule_count,text_verified_rule_count,matched_document_numbers,matched_publication_dates,matched_rule_titles,federal_register_citations,agency_names,cfr_references,regulation_id_numbers,docket_ids,public_law_citations,usc_citations,authority_excerpt,source_urls,raw_text_urls,evidence_layers,missing_links,claim_boundary
117-168,117-s-3373,117,s,3373,federal_register_authority_match,5,5,5,2023-25836; 2024-04202; 2023-18979; 2024-31220; 2023-24195,2023-09-01; 2023-11-03; 2023-11-24; 2024-03-05; 2025-01-02,"Reevaluation of Claims for Dependency and Indemnity Compensation; Processing Applications for Health Care, Sergeant First Class Heath Robinson Honoring Our Promise To Address Comprehensive Toxics Act of 2022, or the Honoring Our PACT Act of 2022; Presumptive Service Connection for Respiratory Conditions Due to Exposure to Fine Particulate Matter; Presumptive Service Connection for Bladder, Ureter, and Related Genitourinary Cancers Due to Exposure to Fine Particulate Matter; Presumptive Service Connection for Rare Respiratory Cancers Due to Exposure to Fine Particulate Matter",88 FR 60336; 88 FR 75498; 88 FR 82261; 89 FR 15753; 90 FR 23,Veterans Affairs Department,38 CFR 3,2900-AR25; 2900-AR44; 2900-AR76,,117-168,2 U.S.C. 1532; 38 U.S.C. 1117; 38 U.S.C. 1119; 38 U.S.C. 1119(c; 38 U.S.C. 1119(c)(1; 38 U.S.C. 1119(c)(1)(B; 38 U.S.C. 1120; 38 U.S.C. 1120(b)(15; 38 U.S.C. 1120(b)(2)(E; 38 U.S.C. 1171; 38 U.S.C. 1171-1174; 38 U.S.C. 1172(a; 38 U.S.C. 1172(c; 38 U.S.C. 1172(d; 38 U.S.C. 1173; 38 U.S.C. 1173(b; 38 U.S.C. 1173(c; 38 U.S.C. 1174; 38 U.S.C. 1174(a; 38 U.S.C. 1174(a)(1; 38 U.S.C. 1305(a)(2; 38 U.S.C. 1305(a)(3; 38 U.S.C. 1710(e)(1)(D; 38 U.S.C. 1710(e)(1)(G; 38 U.S.C. 1710(e)(1)(H; 38 U.S.C. 1710(e)(1)(I; 38 U.S.C. 1710(e)(4)(C; 38 U.S.C. 1710(e)(4)(C)(ii; 38 U.S.C. 501; 38 U.S.C. 501(a; 38 U.S.C. 501(a)(1; 38 U.S.C. 5110; 38 U.S.C. 5110(g; 38 U.S.C. 5121; 38 U.S.C. 5121A(a)(1; 38 U.S.C. by; 44 U.S.C. 3501-; 44 U.S.C. 3501-3521; 44 U.S.C. 3507(d; 5 U.S.C. 553(b)(B,"romise to Address Comprehensive Toxics Act of 2022, or the Honoring our PACT Act of 2022, Public Law 117-168 (herein referred to as ``the PACT Act''). The 60-day public comment period ended on May 22, 2023. VA received three comments. While VA appreciates the commenters' concerns, several of the comments are unrelated to the r",https://www.federalregister.gov/documents/2023/09/01/2023-18979/presumptive-service-connection-for-respiratory-conditions-due-to-exposure-to-fine-particulate-matter; https://www.federalregister.gov/documents/2023/11/03/2023-24195/presumptive-service-connection-for-rare-respiratory-cancers-due-to-exposure-to-fine-particulate; https://www.federalregister.gov/documents/2023/11/24/2023-25836/reevaluation-of-claims-for-dependency-and-indemnity-compensation; https://www.federalregister.gov/documents/2024/03/05/2024-04202/processing-applications-for-health-care-sergeant-first-class-heath-robinson-honoring-our-promise-to; https://www.federalregister.gov/documents/2025/01/02/2024-31220/presumptive-service-connection-for-bladder-ureter-and-related-genitourinary-cancers-due-to-exposure,https://www.federalregister.gov/documents/full_text/text/2023/09/01/2023-18979.txt; https://www.federalregister.gov/documents/full_text/text/2023/11/03/2023-24195.txt; https://www.federalregister.gov/documents/full_text/text/2023/11/24/2023-25836.txt; https://www.federalregister.gov/documents/full_text/text/2024/03/05/2024-04202.txt; https://www.federalregister.gov/documents/full_text/text/2025/01/02/2024-31220.txt,public_law_bill_metadata; federal_register_rule_search; public_law_authority_text_match; usc_authority_citations,proposed_rule_history; complete_regulations_comments; enforcement_outcomes; appropriations_capacity; court_review_or_invalidation; causal_implementation_effect; exhaustive_authority_census,"Bounded Federal Register text search for public-law authority citations only; not proof of exhaustive implementation, proposed-rule history, enforcement outcome, appropriations capacity, complete public-comment record, court review, public benefit, welfare, causal effect, or model validation."
117-169,117-hr-5376,117,hr,5376,federal_register_authority_match,6,6,6,2026-07088; 2026-08280; 2025-14621; 2023-28775; 2025-19675; 2024-09105,2023-12-29; 2024-04-29; 2025-08-01; 2025-10-28; 2026-04-13; 2026-04-29,"Delegations of Authority; Revisions to Regulations Regarding Oil and Gas Leasing; Fees, Rentals, and Royalties; Revision to Regulations Regarding Competitive Leases; Expression of Interest Process; Action to Delay Effective Date Consistent With Congressionally Enacted Moratorium; Energy Dominance Financing Amendments",88 FR 90125; 89 FR 33196; 90 FR 36118; 90 FR 48705; 91 FR 18767; 91 FR 23017,"Agriculture Department; Office of the Secretary; Energy Department; Health and Human Services Department; Inspector General Office, Health and Human Services Department; Interior Department; Land Management Bureau",10 CFR 609; 10 CFR 611; 42 CFR 1001; 43 CFR 3100; 43 CFR 3100; 43 CFR 3120; 7 CFR 2,0503-AA91; 0936-AA14; 1004-AF41; 1004-AF42; 1901-AB60; 1901-AB72,"#O2412-014-004-047181.1; A2407-014-004-065516; A2407-014-004-065516, #O2509-014-004-125222; DOE-HQ-2025-0174; Docket No. BLM-2025-0138; Docket No. BLM-2025-0139",103-355; 104-4; 105-277; 106-554; 109-58; 110-140; 110-329; 111-85; 117-159; 117-169; 117-328; 117-58; 118-234; 119-21,16 U.S.C. 3101; 16 U.S.C. 583k; 16 U.S.C. 8544(b; 2 U.S.C. 1531; 2 U.S.C. 1532(a; 2 U.S.C. 661; 25 U.S.C. 396d; 30 U.S.C. 181; 30 U.S.C. 189; 31 U.S.C. 6101; 40 U.S.C. 471; 42 U.S.C. 1302; 42 U.S.C. 15801; 42 U.S.C. 16511; 42 U.S.C. 16512; 42 U.S.C. 16515(b; 42 U.S.C. 17013; 42 U.S.C. 3501; 42 U.S.C. 4321; 42 U.S.C. 4336e(10; 42 U.S.C. 5195; 42 U.S.C. 7254; 42 U.S.C. 7401; 42 U.S.C. 7521(i; 43 U.S.C. 1701; 43 U.S.C. 1703; 44 U.S.C. 1510; 44 U.S.C. 3501; 44 U.S.C. 3516; 5 U.S.C. 301; 5 U.S.C. 551; 5 U.S.C. 553; 5 U.S.C. 553(a)(2; 5 U.S.C. 553(b; 5 U.S.C. 553(b)(B; 5 U.S.C. 601; 5 U.S.C. 601-612; 5 U.S.C. 603(a; 5 U.S.C. 801; 5 U.S.C. 804(2,"E'') and 22004 (Empowering Rural America, or ``New ERA'') of the Inflation Reduction Act, Public Law 117-169 (Aug. 16, 2022), to the Administrator of the Rural Utilities Service (RUS). Section 9003 otherwise remains delegated to the administrator of the Rural Business-Cooperative Service. Similarly, this rule delegates the var",https://www.federalregister.gov/documents/2023/12/29/2023-28775/action-to-delay-effective-date-consistent-with-congressionally-enacted-moratorium; https://www.federalregister.gov/documents/2024/04/29/2024-09105/statutory-updates-to-the-advanced-technology-vehicles-manufacturing-program; https://www.federalregister.gov/documents/2025/08/01/2025-14621/revision-to-regulations-regarding-competitive-leases-expression-of-interest-process; https://www.federalregister.gov/documents/2025/10/28/2025-19675/energy-dominance-financing-amendments; https://www.federalregister.gov/documents/2026/04/13/2026-07088/delegations-of-authority; https://www.federalregister.gov/documents/2026/04/29/2026-08280/revisions-to-regulations-regarding-oil-and-gas-leasing-fees-rentals-and-royalties,https://www.federalregister.gov/documents/full_text/text/2023/12/29/2023-28775.txt; https://www.federalregister.gov/documents/full_text/text/2024/04/29/2024-09105.txt; https://www.federalregister.gov/documents/full_text/text/2025/08/01/2025-14621.txt; https://www.federalregister.gov/documents/full_text/text/2025/10/28/2025-19675.txt; https://www.federalregister.gov/documents/full_text/text/2026/04/13/2026-07088.txt; https://www.federalregister.gov/documents/full_text/text/2026/04/29/2026-08280.txt,public_law_bill_metadata; federal_register_rule_search; public_law_authority_text_match; usc_authority_citations,proposed_rule_history; complete_regulations_comments; enforcement_outcomes; appropriations_capacity; court_review_or_invalidation; causal_implementation_effect; exhaustive_authority_census,"Bounded Federal Register text search for public-law authority citations only; not proof of exhaustive implementation, proposed-rule history, enforcement outcome, appropriations capacity, complete public-comment record, court review, public benefit, welfare, causal effect, or model validation."
117-172,117-hr-6943,117,hr,6943,no_federal_register_authority_match,1,0,0,,,,,,,,,,,,,,public_law_bill_metadata; federal_register_rule_search,federal_register_public_law_authority_match; proposed_rule_history; complete_regulations_comments; enforcement_outcomes; appropriations_capacity; court_review_or_invalidation; causal_implementation_effect; exhaustive_authority_census,"Bounded Federal Register text search for public-law authority citations only; not proof of exhaustive implementation, proposed-rule history, enforcement outcome, appropriations capacity, complete public-comment record, court review, public benefit, welfare, causal effect, or model validation."
117-174,117-s-4458,117,s,4458,federal_register_authority_match,1,1,1,2024-00629,2024-01-16,"85/15 Rule Calculations, Waiver Criteria, and Reports",89 FR 2493,Veterans Affairs Department,38 CFR 21,2900-AR56,,102-568; 113-128; 117-174,10 U.S.C. 2141; 2 U.S.C. 1532; 38 U.S.C. 3313(c)(1)(A)(II; 38 U.S.C. 3680A; 38 U.S.C. 3680A(d; 38 U.S.C. 3680A(d)(1; 38 U.S.C. 3680A(d)(2; 38 U.S.C. 501(a; 38 U.S.C. chapter; 44 U.S.C. 3501-3521; 5 U.S.C. 553; 5 U.S.C. 601-; 5 U.S.C. 603; 5 U.S.C. 605(b; 5 U.S.C. 801; 5 U.S.C. 804(2,"uring the Best Schools for Veterans Act of 2022 Some commenters requested that VA address Public Law 117-174, the ``Ensuring the Best Schools for Veterans Act of 2022,'' in the preamble to this rulemaking. VA acknowledges that there has been some confusion as to the content of this rulemaking due to the proximity of its NPRM's",https://www.federalregister.gov/documents/2024/01/16/2024-00629/8515-rule-calculations-waiver-criteria-and-reports,https://www.federalregister.gov/documents/full_text/text/2024/01/16/2024-00629.txt,public_law_bill_metadata; federal_register_rule_search; public_law_authority_text_match; usc_authority_citations,proposed_rule_history; complete_regulations_comments; enforcement_outcomes; appropriations_capacity; court_review_or_invalidation; causal_implementation_effect; exhaustive_authority_census,"Bounded Federal Register text search for public-law authority citations only; not proof of exhaustive implementation, proposed-rule history, enforcement outcome, appropriations capacity, complete public-comment record, court review, public benefit, welfare, causal effect, or model validation."
117-180,117-hr-6833,117,hr,6833,federal_register_authority_match,6,6,6,2023-18457; 2022-26814; 2022-27236; 2022-24728; 2024-29353; 2025-14681,2022-11-14; 2022-12-09; 2022-12-15; 2023-08-29; 2024-12-18; 2025-08-04,"Hermit's Peak/Calf Canyon Fire Assistance; Notification of Public Meetings on Hermit's Peak/Calf Canyon Fire Assistance; Exercise of Time-Limited Authority To Increase the Numerical Limitation for FY 2023 for the H-2B Temporary Nonagricultural Worker Program and Portability Flexibility for H-2B Workers Seeking To Change Employers; Hermit's Peak/Calf Canyon Fire Assistance; Modernizing H-2 Program Requirements, Oversight, and Worker Protections",87 FR 68085; 87 FR 75495; 87 FR 76816; 88 FR 59730; 89 FR 103202; 90 FR 36536,Health and Human Services Department; Centers for Medicare & Medicaid Services; Office of the Secretary; Homeland Security Department; Homeland Security Department; Federal Emergency Management Agency; Homeland Security Department; Labor Department; Employment and Training Administration,42 CFR 412; 42 CFR 495; 42 CFR 512; 45 CFR 170; 44 CFR 296; 8 CFR 214; 8 CFR 274; 8 CFR 214; 8 CFR 274; 20 CFR 655,1205-AC14; 1615-AC76; 1615-AC82; 1660-AB14,"CIS No. 2731-22, DHS Docket No. USCIS-2022-0015; CIS No. 2740-23; CMS-1833-F and CMS-1808-F; DHS Docket No. USCIS-2023-0012; DOL Docket No. ETA-; Docket ID FEMA-2022-0037",101-238; 101-410; 101-649; 102-232; 103-206; 104-121; 104-13; 104-208; 104-4; 105-277; 105-33; 106-113; 106-246; 106-386; 106-554; 106-95; 107-208; 107-296; 108-173; 108-287; 109-13; 109-171; 109-364; 109-423; 110-229; 110-275; 110-90; 111-148; 111-152; 111-5,15 U.S.C. 3701; 2 U.S.C. 1501; 2 U.S.C. 1502(1; 2 U.S.C. 1532(a; 2 U.S.C. 658(5; 2 U.S.C. 658(7; 21 U.S.C. 321(g; 28 U.S.C. 1346(b)(1; 28 U.S.C. 2461; 29 U.S.C. 206; 29 U.S.C. 49k; 31 U.S.C. 3727(b; 42 U.S.C 300jj-14; 42 U.S.C. 1302; 42 U.S.C. 1315a; 42 U.S.C. 1395aaa-1(a)(2; 42 U.S.C. 1395b-1; 42 U.S.C. 1395b1; 42 U.S.C. 1395ww(d)(3)(E)(i; 42 U.S.C. 247d; 42 U.S.C. 300jj-11; 42 U.S.C. 4321; 42 U.S.C. 4336e(1; 42 U.S.C. 5121; 44 U.S.C. 3501; 44 U.S.C. 3501-; 44 U.S.C. 3506(c)(2)(A; 48 U.S.C. 1806; 48 U.S.C. 1901; 5 U.S.C. 552; 5 U.S.C. 552a; 5 U.S.C. 552a(a)(4; 5 U.S.C. 553; 5 U.S.C. 553(b; 5 U.S.C. 553(b)(A; 5 U.S.C. 553(b)(B; 5 U.S.C. 553(d)(3; 5 U.S.C. 554; 5 U.S.C. 554(a; 5 U.S.C. 601," part of the Continuing Appropriations and Ukraine Supplemental Appropriations Act, 2023, Public Law 117-180, 136 Stat. 2114 (2022), and directed FEMA to issue an Interim Final Rule (``IFR'') within 45 days of enactment. Congress passed the Act to compensate those parties who suffered injury and loss of property from the Hermi",https://www.federalregister.gov/documents/2022/11/14/2022-24728/hermits-peakcalf-canyon-fire-assistance; https://www.federalregister.gov/documents/2022/12/09/2022-26814/notification-of-public-meetings-on-hermits-peakcalf-canyon-fire-assistance; https://www.federalregister.gov/documents/2022/12/15/2022-27236/exercise-of-time-limited-authority-to-increase-the-numerical-limitation-for-fy-2023-for-the-h-2b; https://www.federalregister.gov/documents/2023/08/29/2023-18457/hermits-peakcalf-canyon-fire-assistance; https://www.federalregister.gov/documents/2024/12/18/2024-29353/modernizing-h-2-program-requirements-oversight-and-worker-protections; https://www.federalregister.gov/documents/2025/08/04/2025-14681/medicare-program-hospital-inpatient-prospective-payment-systems-for-acute-care-hospitals-ipps-and,https://www.federalregister.gov/documents/full_text/text/2022/11/14/2022-24728.txt; https://www.federalregister.gov/documents/full_text/text/2022/12/09/2022-26814.txt; https://www.federalregister.gov/documents/full_text/text/2022/12/15/2022-27236.txt; https://www.federalregister.gov/documents/full_text/text/2023/08/29/2023-18457.txt; https://www.federalregister.gov/documents/full_text/text/2024/12/18/2024-29353.txt; https://www.federalregister.gov/documents/full_text/text/2025/08/04/2025-14681.txt,public_law_bill_metadata; federal_register_rule_search; public_law_authority_text_match; usc_authority_citations,proposed_rule_history; complete_regulations_comments; enforcement_outcomes; appropriations_capacity; court_review_or_invalidation; causal_implementation_effect; exhaustive_authority_census,"Bounded Federal Register text search for public-law authority citations only; not proof of exhaustive implementation, proposed-rule history, enforcement outcome, appropriations capacity, complete public-comment record, court review, public benefit, welfare, causal effect, or model validation."
117-182,117-s-3969,117,s,3969,no_federal_register_authority_match,0,0,0,,,,,,,,,,,,,,public_law_bill_metadata; federal_register_rule_search,federal_register_public_law_authority_match; proposed_rule_history; complete_regulations_comments; enforcement_outcomes; appropriations_capacity; court_review_or_invalidation; causal_implementation_effect; exhaustive_authority_census,"Bounded Federal Register text search for public-law authority citations only; not proof of exhaustive implementation, proposed-rule history, enforcement outcome, appropriations capacity, complete public-comment record, court review, public benefit, welfare, causal effect, or model validation."
117-183,117-s-4900,117,s,4900,no_federal_register_authority_match,0,0,0,,,,,,,,,,,,,,public_law_bill_metadata; federal_register_rule_search,federal_register_public_law_authority_match; proposed_rule_history; complete_regulations_comments; enforcement_outcomes; appropriations_capacity; court_review_or_invalidation; causal_implementation_effect; exhaustive_authority_census,"Bounded Federal Register text search for public-law authority citations only; not proof of exhaustive implementation, proposed-rule history, enforcement outcome, appropriations capacity, complete public-comment record, court review, public benefit, welfare, causal effect, or model validation."
117-185,117-hr-6899,117,hr,6899,no_federal_register_authority_match,2,0,0,,,,,,,,,,,,,,public_law_bill_metadata; federal_register_rule_search,federal_register_public_law_authority_match; proposed_rule_history; complete_regulations_comments; enforcement_outcomes; appropriations_capacity; court_review_or_invalidation; causal_implementation_effect; exhaustive_authority_census,"Bounded Federal Register text search for public-law authority citations only; not proof of exhaustive implementation, proposed-rule history, enforcement outcome, appropriations capacity, complete public-comment record, court review, public benefit, welfare, causal effect, or model validation."
117-203,117-s-516,117,s,516,federal_register_authority_match,1,1,1,2024-24886,2024-11-21,Integration of Powered-Lift: Pilot Certification and Operations; Miscellaneous Amendments Related to Rotorcraft and Airplanes,89 FR 92296,Transportation Department; Federal Aviation Administration,14 CFR 1; 14 CFR 11; 14 CFR 43; 14 CFR 60; 14 CFR 61; 14 CFR 91; 14 CFR 97; 14 CFR 111; 14 CFR 135; 14 CFR 136; 14 CFR 141; 14 CFR 142; 14 CFR 194,2120-AL72,"Amdt. Nos. 1-78, 11-69, 43-62, 60-8, 61-157, 91-379, 97-1340, 111-2, 135-147, 136-4, 141-26, 142-11, and 194-1; Docket No. FAA-2023-1275",100-223; 103-465; 104-121; 104-4; 111-216; 111-240; 112-95; 114-190; 115-254; 117-203; 118-63; 17-203; 96-354; 96-39,2 U.S.C. 1531-1538; 42 U.S.C. 7572; 44 U.S.C. 3507(d; 49 U.S.C. 106(f; 49 U.S.C. 44701; 49 U.S.C. 44701(d)(1)(A; 49 U.S.C. 44703; 49 U.S.C. 44730; 49 U.S.C. Subtitle; 5 U.S.C. 552(a; 5 U.S.C. 553(b)(A; 5 U.S.C. 601-612; 5 U.S.C. 801; 5 U.S.C. 804(2; 51 U.S.C. 50901-50923,"---------------------------------------------- \443\ AAM Coordination and Leadership Act, Public Law 117-203 (Oct. 17, 2022). \444\ FAA Reauthorization Act of 2024, Public Law 118-63 (May 16, 2024). --------------------------------------------------------------------------- Many commenters suggested there are potential benefit",https://www.federalregister.gov/documents/2024/11/21/2024-24886/integration-of-powered-lift-pilot-certification-and-operations-miscellaneous-amendments-related-to,https://www.federalregister.gov/documents/full_text/text/2024/11/21/2024-24886.txt,public_law_bill_metadata; federal_register_rule_search; public_law_authority_text_match; usc_authority_citations,proposed_rule_history; complete_regulations_comments; enforcement_outcomes; appropriations_capacity; court_review_or_invalidation; causal_implementation_effect; exhaustive_authority_census,"Bounded Federal Register text search for public-law authority citations only; not proof of exhaustive implementation, proposed-rule history, enforcement outcome, appropriations capacity, complete public-comment record, court review, public benefit, welfare, causal effect, or model validation."
117-210,117-s-3157,117,s,3157,no_federal_register_authority_match,1,0,0,,,,,,,,,,,,,,public_law_bill_metadata; federal_register_rule_search,federal_register_public_law_authority_match; proposed_rule_history; complete_regulations_comments; enforcement_outcomes; appropriations_capacity; court_review_or_invalidation; causal_implementation_effect; exhaustive_authority_census,"Bounded Federal Register text search for public-law authority citations only; not proof of exhaustive implementation, proposed-rule history, enforcement outcome, appropriations capacity, complete public-comment record, court review, public benefit, welfare, causal effect, or model validation."
117-211,117-s-3470,117,s,3470,no_federal_register_authority_match,1,0,0,,,,,,,,,,,,,,public_law_bill_metadata; federal_register_rule_search,federal_register_public_law_authority_match; proposed_rule_history; complete_regulations_comments; enforcement_outcomes; appropriations_capacity; court_review_or_invalidation; causal_implementation_effect; exhaustive_authority_census,"Bounded Federal Register text search for public-law authority citations only; not proof of exhaustive implementation, proposed-rule history, enforcement outcome, appropriations capacity, complete public-comment record, court review, public benefit, welfare, causal effect, or model validation."
117-214,117-hr-4693,117,hr,4693,no_federal_register_authority_match,0,0,0,,,,,,,,,,,,,,public_law_bill_metadata; federal_register_rule_search,federal_register_public_law_authority_match; proposed_rule_history; complete_regulations_comments; enforcement_outcomes; appropriations_capacity; court_review_or_invalidation; causal_implementation_effect; exhaustive_authority_census,"Bounded Federal Register text search for public-law authority citations only; not proof of exhaustive implementation, proposed-rule history, enforcement outcome, appropriations capacity, complete public-comment record, court review, public benefit, welfare, causal effect, or model validation."
117-215,117-hr-8454,117,hr,8454,no_federal_register_authority_match,1,0,0,,,,,,,,,,,,,,public_law_bill_metadata; federal_register_rule_search,federal_register_public_law_authority_match; proposed_rule_history; complete_regulations_comments; enforcement_outcomes; appropriations_capacity; court_review_or_invalidation; causal_implementation_effect; exhaustive_authority_census,"Bounded Federal Register text search for public-law authority citations only; not proof of exhaustive implementation, proposed-rule history, enforcement outcome, appropriations capacity, complete public-comment record, court review, public benefit, welfare, causal effect, or model validation."
117-219,117-s-1941,117,s,1941,federal_register_authority_match,4,2,2,2024-16911; 2024-16909,2024-08-06; 2024-08-07,Medicare Program; Inpatient Rehabilitation Facility Prospective Payment System for Federal Fiscal Year 2025 and Updates to the IRF Quality Reporting Program; Medicare Program; FY 2025 Inpatient Psychiatric Facilities Prospective Payment System-Rate Update,89 FR 64276; 89 FR 64582,Health and Human Services Department; Centers for Medicare & Medicaid Services,42 CFR 412,0938-AV31; 0938-AV32,CMS-1804-F; CMS-1806-F,104-191; 104-4; 105-33; 106-113; 107-105; 108-17; 111-148; 111-152; 113-185; 114-10; 116-136; 117-219; 117-328; 96-354; 97-248,5 U.S.C. 553(b)(4; 5 U.S.C. 804(2,"t both OMB guidance and the Metropolitan Areas Protection and Standardization Act (MAPS) (Public Law 117-219) support that, if CMS chooses to adopt new OMB delineations, CMS must fully explain why reliance on the updated CBSAs as set forth by OMB is appropriate for purposes of the FY 2025 wage index adjustments. The commenters",https://www.federalregister.gov/documents/2024/08/06/2024-16911/medicare-program-inpatient-rehabilitation-facility-prospective-payment-system-for-federal-fiscal; https://www.federalregister.gov/documents/2024/08/07/2024-16909/medicare-program-fy-2025-inpatient-psychiatric-facilities-prospective-payment-system-rate-update,https://www.federalregister.gov/documents/full_text/text/2024/08/06/2024-16911.txt; https://www.federalregister.gov/documents/full_text/text/2024/08/07/2024-16909.txt,public_law_bill_metadata; federal_register_rule_search; public_law_authority_text_match; usc_authority_citations,proposed_rule_history; complete_regulations_comments; enforcement_outcomes; appropriations_capacity; court_review_or_invalidation; causal_implementation_effect; exhaustive_authority_census,"Bounded Federal Register text search for public-law authority citations only; not proof of exhaustive implementation, proposed-rule history, enforcement outcome, appropriations capacity, complete public-comment record, court review, public benefit, welfare, causal effect, or model validation."
117-223,117-hr-7132,117,hr,7132,federal_register_authority_match,6,6,6,2024-12220; 2023-25835; 2023-26338; 2024-05942; 2024-04587; 2024-02384,2023-12-05; 2023-12-08; 2024-02-08; 2024-03-05; 2024-03-21; 2024-06-04,Supporting Survivors of Domestic and Sexual Violence; Lifeline and Link Up Reform Modernization; Supporting Survivors of Domestic and Sexual Violence; Lifeline and Link Up Reform Modernization; Protecting Consumers from SIM-Swap and Port-Out Fraud; Video Relay Service Improvements; Strengthening the Ability of Consumers To Stop Robocalls,88 FR 84406; 88 FR 85794; 89 FR 15756; 89 FR 20125; 89 FR 47869; 89 FR 8549,Federal Communications Commission,47 CFR 52; 47 CFR 64; 47 CFR 54; 47 CFR 64; 47 CFR 64,,"CG Docket No. 02-278; CG Docket Nos. 03-123, 10-51; CG Docket Nos. 03-123, 10-51, 13-24 and WC Docket No. 12-375; FCC 22-51; FCC 22-76; FCC 23-116; FCC 23-95, FR ID 186823; FCC 23-96; FCC 23-96, FR ID 183619; FCC 24-24; FR ID 201005; FR ID 205127; FR ID 209179; FR ID 223185; WC Docket No. 21-341; WC Docket Nos. 22-238, 11-42, 21-450",104-13; 107-198; 115-141; 116-260; 117-223; 117-58,20 U.S.C. 1070a; 22 U.S.C. 7102; 34 U.S.C. 12291(a; 42 U.S.C. 1751; 42 U.S.C. 1759a; 42 U.S.C. 1773; 42 U.S.C. 1786; 44 U.S.C. 3506(c)(4; 44 U.S.C. 3507; 47 U.S.C. 151; 47 U.S.C. 153; 47 U.S.C. 222(c)(2; 47 U.S.C. 225; 47 U.S.C. 225(a)(3; 47 U.S.C. 225(b)(1; 47 U.S.C. 227(e)(8; 47 U.S.C. 227b(a; 47 U.S.C. 332(c)(1)(A; 47 U.S.C. 332(d; 47 U.S.C. 345; 47 U.S.C. 345(b)(1; 47 U.S.C. 345(b)(2; 47 U.S.C. 345(c)(1; 5 U.S.C. 801(a)(1)(A; 5 U.S.C. 804(2,"023) (announcing a final rule correction)) to implement the Safe Connections Act of 2022, Public Law 117-223, 116 Stat. 2280 (Safe Connections Act or SCA). In that rulemaking, the Commission adopted rules to codify and implement the line separation provisions in the SCA. The Commission required covered providers to comply with",https://www.federalregister.gov/documents/2023/12/05/2023-25835/supporting-survivors-of-domestic-and-sexual-violence-lifeline-and-link-up-reform-modernization; https://www.federalregister.gov/documents/2023/12/08/2023-26338/protecting-consumers-from-sim-swap-and-port-out-fraud; https://www.federalregister.gov/documents/2024/02/08/2024-02384/vrs-and-ip-cts-commencement-of-pending-user-registration-rates-for-interstate-inmate-calling; https://www.federalregister.gov/documents/2024/03/05/2024-04587/strengthening-the-ability-of-consumers-to-stop-robocalls; https://www.federalregister.gov/documents/2024/03/21/2024-05942/video-relay-service-improvements; https://www.federalregister.gov/documents/2024/06/04/2024-12220/supporting-survivors-of-domestic-and-sexual-violence-lifeline-and-link-up-reform-modernization,https://www.federalregister.gov/documents/full_text/text/2023/12/05/2023-25835.txt; https://www.federalregister.gov/documents/full_text/text/2023/12/08/2023-26338.txt; https://www.federalregister.gov/documents/full_text/text/2024/02/08/2024-02384.txt; https://www.federalregister.gov/documents/full_text/text/2024/03/05/2024-04587.txt; https://www.federalregister.gov/documents/full_text/text/2024/03/21/2024-05942.txt; https://www.federalregister.gov/documents/full_text/text/2024/06/04/2024-12220.txt,public_law_bill_metadata; federal_register_rule_search; public_law_authority_text_match; usc_authority_citations,proposed_rule_history; complete_regulations_comments; enforcement_outcomes; appropriations_capacity; court_review_or_invalidation; causal_implementation_effect; exhaustive_authority_census,"Bounded Federal Register text search for public-law authority citations only; not proof of exhaustive implementation, proposed-rule history, enforcement outcome, appropriations capacity, complete public-comment record, court review, public benefit, welfare, causal effect, or model validation."
117-228,117-hr-8404,117,hr,8404,no_federal_register_authority_match,0,0,0,,,,,,,,,,,,,,public_law_bill_metadata; federal_register_rule_search,federal_register_public_law_authority_match; proposed_rule_history; complete_regulations_comments; enforcement_outcomes; appropriations_capacity; court_review_or_invalidation; causal_implementation_effect; exhaustive_authority_census,"Bounded Federal Register text search for public-law authority citations only; not proof of exhaustive implementation, proposed-rule history, enforcement outcome, appropriations capacity, complete public-comment record, court review, public benefit, welfare, causal effect, or model validation."
