packet_rank,readiness_rank,bill_id,public_law_number,policy_area,sponsor_districts,proxy_issues,proxy_row_count,current_proxy_status,target_issue_construct,bill_topic_survey_source,district_estimation_source,affected_population_source,affected_support_or_harm_source,required_join_keys,acquisition_status,next_action,evidence_layers,missing_links,source_url,claim_boundary
11,11,117-hr-1652,117-27,Crime and Law Enforcement,NY-10,house_democratic_preference; house_representative_approval; presidential_democratic_preference,3,proxy_only_missing_issue_specific_bill_support,"crime, policing, sentencing, or law-enforcement bill support","CES/CCES or ANES crime, policing, public-safety, and justice-system items","MRP over crime/law-enforcement items using race, age, urbanicity, education, income, and party covariates",ACS demographic denominators plus district-level exposure measures selected for the bill target,"victimization, justice-system, policing, or affected-community survey/outcome source tied to bill text",bill_id; public_law_number; policy_area; district_id; issue_topic; survey_item_id; mrp_estimate_id; affected_group; affected_population_denominator,source_packet_only_no_external_dataset_acquired,"Select source item or microdata for the bill topic, build or import district-level MRP/small-area support, add affected-population denominators, and keep support separate from affected-group exposure.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; bill_topic_public_opinion_readiness_queue; public_opinion_source_acquisition_packet,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/1652,"Source-acquisition packet derived from bounded CES sponsor-district proxy context and policy-area metadata only; not acquired bill-topic support data, not MRP or small-area estimates, not affected-population denominators, not affected-group support or harm, not public-benefit evidence, and not model validation."
12,12,117-hr-3113,117-114,Public Lands and Natural Resources,UT-01,house_democratic_preference; house_representative_approval; presidential_democratic_preference,3,proxy_only_missing_issue_specific_bill_support,"public-lands, conservation, resource, or environmental-management bill support",CES/CCES environmental/public-lands items; conservation or resource-policy survey items where district covariates exist,"MRP over environment/public-lands items using rurality, income, education, industry, age, and party covariates","ACS rural, industry, income, housing, tribal/Indigenous where applicable, and land-adjacent denominators by district","land-user, conservation, tribal/Indigenous, environmental, or resource-community source tied to bill text",bill_id; public_law_number; policy_area; district_id; issue_topic; survey_item_id; mrp_estimate_id; affected_group; affected_population_denominator,source_packet_only_no_external_dataset_acquired,"Select source item or microdata for the bill topic, build or import district-level MRP/small-area support, add affected-population denominators, and keep support separate from affected-group exposure.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; bill_topic_public_opinion_readiness_queue; public_opinion_source_acquisition_packet,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/3113,"Source-acquisition packet derived from bounded CES sponsor-district proxy context and policy-area metadata only; not acquired bill-topic support data, not MRP or small-area estimates, not affected-population denominators, not affected-group support or harm, not public-benefit evidence, and not model validation."
13,13,117-hr-6943,117-172,Crime and Law Enforcement,MD-06,house_democratic_preference; house_representative_approval; presidential_democratic_preference,3,proxy_only_missing_issue_specific_bill_support,"crime, policing, sentencing, or law-enforcement bill support","CES/CCES or ANES crime, policing, public-safety, and justice-system items","MRP over crime/law-enforcement items using race, age, urbanicity, education, income, and party covariates",ACS demographic denominators plus district-level exposure measures selected for the bill target,"victimization, justice-system, policing, or affected-community survey/outcome source tied to bill text",bill_id; public_law_number; policy_area; district_id; issue_topic; survey_item_id; mrp_estimate_id; affected_group; affected_population_denominator,source_packet_only_no_external_dataset_acquired,"Select source item or microdata for the bill topic, build or import district-level MRP/small-area support, add affected-population denominators, and keep support separate from affected-group exposure.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; bill_topic_public_opinion_readiness_queue; public_opinion_source_acquisition_packet,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/6943,"Source-acquisition packet derived from bounded CES sponsor-district proxy context and policy-area metadata only; not acquired bill-topic support data, not MRP or small-area estimates, not affected-population denominators, not affected-group support or harm, not public-benefit evidence, and not model validation."
14,14,117-hr-8404,117-228,"Civil Rights and Liberties, Minority Issues",NY-10,house_democratic_preference; house_representative_approval; presidential_democratic_preference,3,proxy_only_missing_issue_specific_bill_support,civil-rights or minority-rights bill support,"CES/CCES, ANES, or issue-specific civil-rights survey items with demographic response fields","MRP over civil-rights items using race, ethnicity, age, education, income, and party covariates","ACS race, ethnicity, citizenship, disability, language, age, sex, and household denominators by district",affected-group survey or administrative discrimination/harm source tied to the bill target,bill_id; public_law_number; policy_area; district_id; issue_topic; survey_item_id; mrp_estimate_id; affected_group; affected_population_denominator,source_packet_only_no_external_dataset_acquired,"Select source item or microdata for the bill topic, build or import district-level MRP/small-area support, add affected-population denominators, and keep support separate from affected-group exposure.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; bill_topic_public_opinion_readiness_queue; public_opinion_source_acquisition_packet,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/8404,"Source-acquisition packet derived from bounded CES sponsor-district proxy context and policy-area metadata only; not acquired bill-topic support data, not MRP or small-area estimates, not affected-population denominators, not affected-group support or harm, not public-benefit evidence, and not model validation."
15,15,117-hr-8454,117-215,Crime and Law Enforcement,OR-03,house_democratic_preference; house_representative_approval; presidential_democratic_preference,3,proxy_only_missing_issue_specific_bill_support,"crime, policing, sentencing, or law-enforcement bill support","CES/CCES or ANES crime, policing, public-safety, and justice-system items","MRP over crime/law-enforcement items using race, age, urbanicity, education, income, and party covariates",ACS demographic denominators plus district-level exposure measures selected for the bill target,"victimization, justice-system, policing, or affected-community survey/outcome source tied to bill text",bill_id; public_law_number; policy_area; district_id; issue_topic; survey_item_id; mrp_estimate_id; affected_group; affected_population_denominator,source_packet_only_no_external_dataset_acquired,"Select source item or microdata for the bill topic, build or import district-level MRP/small-area support, add affected-population denominators, and keep support separate from affected-group exposure.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; bill_topic_public_opinion_readiness_queue; public_opinion_source_acquisition_packet,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/8454,"Source-acquisition packet derived from bounded CES sponsor-district proxy context and policy-area metadata only; not acquired bill-topic support data, not MRP or small-area estimates, not affected-population denominators, not affected-group support or harm, not public-benefit evidence, and not model validation."
16,16,117-hr-6386,117-295,Government Operations and Politics,IL-08,house_democratic_preference; house_representative_approval; presidential_democratic_preference,3,proxy_only_missing_issue_specific_bill_support,"government-operations, democracy, ethics, or institutional-reform bill support","CES/CCES government trust, election administration, democracy, or ethics items where wording matches bill target","MRP over trust/democracy/election items using education, age, race, income, turnout, and party covariates","ACS voting-age, citizenship, language, disability, and access-relevant denominators by district","election-administration, civic-access, or administrative-burden source tied to bill text",bill_id; public_law_number; policy_area; district_id; issue_topic; survey_item_id; mrp_estimate_id; affected_group; affected_population_denominator,source_packet_only_no_external_dataset_acquired,"Select source item or microdata for the bill topic, build or import district-level MRP/small-area support, add affected-population denominators, and keep support separate from affected-group exposure.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; bill_topic_public_opinion_readiness_queue; public_opinion_source_acquisition_packet,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/6386,"Source-acquisition packet derived from bounded CES sponsor-district proxy context and policy-area metadata only; not acquired bill-topic support data, not MRP or small-area estimates, not affected-population denominators, not affected-group support or harm, not public-benefit evidence, and not model validation."
17,17,117-hr-1842,117-163,Finance and Financial Sector,NY-05,house_democratic_preference; house_representative_approval; presidential_democratic_preference,3,proxy_only_missing_issue_specific_bill_support,"banking, credit, investor, or financial-regulation bill support",CES/CCES economic-regulation items; financial consumer or investor survey items where available,"MRP over financial-regulation items using income, homeownership, education, age, and party covariates","ACS income, homeownership, mortgage, age, poverty, and employment denominators by district","consumer-finance, borrower, investor, or financial-access outcome source tied to bill text",bill_id; public_law_number; policy_area; district_id; issue_topic; survey_item_id; mrp_estimate_id; affected_group; affected_population_denominator,source_packet_only_no_external_dataset_acquired,"Select source item or microdata for the bill topic, build or import district-level MRP/small-area support, add affected-population denominators, and keep support separate from affected-group exposure.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; bill_topic_public_opinion_readiness_queue; public_opinion_source_acquisition_packet,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/1842,"Source-acquisition packet derived from bounded CES sponsor-district proxy context and policy-area metadata only; not acquired bill-topic support data, not MRP or small-area estimates, not affected-population denominators, not affected-group support or harm, not public-benefit evidence, and not model validation."
18,18,117-hr-3359,117-164,Crime and Law Enforcement,CA-15,house_democratic_preference; house_representative_approval; presidential_democratic_preference,3,proxy_only_missing_issue_specific_bill_support,"crime, policing, sentencing, or law-enforcement bill support","CES/CCES or ANES crime, policing, public-safety, and justice-system items","MRP over crime/law-enforcement items using race, age, urbanicity, education, income, and party covariates",ACS demographic denominators plus district-level exposure measures selected for the bill target,"victimization, justice-system, policing, or affected-community survey/outcome source tied to bill text",bill_id; public_law_number; policy_area; district_id; issue_topic; survey_item_id; mrp_estimate_id; affected_group; affected_population_denominator,source_packet_only_no_external_dataset_acquired,"Select source item or microdata for the bill topic, build or import district-level MRP/small-area support, add affected-population denominators, and keep support separate from affected-group exposure.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; bill_topic_public_opinion_readiness_queue; public_opinion_source_acquisition_packet,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/3359,"Source-acquisition packet derived from bounded CES sponsor-district proxy context and policy-area metadata only; not acquired bill-topic support data, not MRP or small-area estimates, not affected-population denominators, not affected-group support or harm, not public-benefit evidence, and not model validation."
19,19,117-hr-4693,117-214,International Affairs,TX-10,house_democratic_preference; house_representative_approval; presidential_democratic_preference,3,proxy_only_missing_issue_specific_bill_support,"foreign-policy, trade, aid, sanctions, or international-affairs bill support","CES/CCES, ANES, Chicago Council, or similar foreign-policy/trade issue items if district covariates are usable","MRP over foreign-policy/trade items using education, income, industry, nativity, race, age, and party covariates","ACS industry, trade-exposed employment proxy, foreign-born, language, and income denominators by district","trade-exposed worker, diaspora, aid-recipient, sanctions, or foreign-policy constituency source tied to bill text",bill_id; public_law_number; policy_area; district_id; issue_topic; survey_item_id; mrp_estimate_id; affected_group; affected_population_denominator,source_packet_only_no_external_dataset_acquired,"Select source item or microdata for the bill topic, build or import district-level MRP/small-area support, add affected-population denominators, and keep support separate from affected-group exposure.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; bill_topic_public_opinion_readiness_queue; public_opinion_source_acquisition_packet,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/4693,"Source-acquisition packet derived from bounded CES sponsor-district proxy context and policy-area metadata only; not acquired bill-topic support data, not MRP or small-area estimates, not affected-population denominators, not affected-group support or harm, not public-benefit evidence, and not model validation."
20,20,117-hr-6899,117-185,International Affairs,AR-02,house_democratic_preference; house_representative_approval; presidential_democratic_preference,3,proxy_only_missing_issue_specific_bill_support,"foreign-policy, trade, aid, sanctions, or international-affairs bill support","CES/CCES, ANES, Chicago Council, or similar foreign-policy/trade issue items if district covariates are usable","MRP over foreign-policy/trade items using education, income, industry, nativity, race, age, and party covariates","ACS industry, trade-exposed employment proxy, foreign-born, language, and income denominators by district","trade-exposed worker, diaspora, aid-recipient, sanctions, or foreign-policy constituency source tied to bill text",bill_id; public_law_number; policy_area; district_id; issue_topic; survey_item_id; mrp_estimate_id; affected_group; affected_population_denominator,source_packet_only_no_external_dataset_acquired,"Select source item or microdata for the bill topic, build or import district-level MRP/small-area support, add affected-population denominators, and keep support separate from affected-group exposure.",cumulative_ces_district_aggregate; sponsor_district_public_law_bill_metadata; sponsor_district_bill_policy_area_context; bill_topic_public_opinion_readiness_queue; public_opinion_source_acquisition_packet,bill_topic_public_opinion; survey_item_crosswalk; MRP_or_small_area_estimate; affected_population_denominator; issue_specific_affected_group_support; affected_group_harm; causal_representation; public_benefit; model_validation,https://www.congress.gov/bill/117th-congress/hr-bill/6899,"Source-acquisition packet derived from bounded CES sponsor-district proxy context and policy-area metadata only; not acquired bill-topic support data, not MRP or small-area estimates, not affected-population denominators, not affected-group support or harm, not public-benefit evidence, and not model validation."
